feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position
296035,516,Trent,Dumont,NTH,MID,NA,NA,0,9856,FALSE,MID
291545,767,Mitch,Wallis,WBD,FWD,MID,NA,0,NA,NA,NA
270732,763,Matthew,Suckling,WBD,DEF,NA,NA,0,NA,NA,NA
261396,570,Robbie,Gray,PTA,FWD,MID,NA,0,33301,TRUE,FWD
298279,464,Angus,Brayshaw,MEL,MID,NA,NA,0,9867,TRUE,MID
294877,456,Isaac,Smith,HAW,MID,NA,NA,0,NA,NA,NA
996487,166,Tom,Phillips,COL,MID,NA,NA,0,9856,TRUE,MID
996059,47,Harris,Andrews,BRL,DEF,NA,NA,0,182,TRUE,DEF
296733,328,Mark,Blicavs,GEE,DEF,NA,NA,0,9856,FALSE,DEF
250267,677,Paddy,Ryder,STK,RUC,FWD,NA,0,9856,FALSE,FWD
240700,406,Heath,Shaw,GWS,DEF,NA,NA,0,NA,NA,NA
1004592,740,Tim,English,WBD,RUC,NA,NA,0,NA,NA,NA
270325,537,Robbie,Tarrant,NTH,DEF,NA,NA,0,9856,TRUE,DEF
290799,751,Tom,Liberatore,WBD,MID,NA,NA,0,9856,TRUE,MID
298111,384,Jeremy,Finlayson,GWS,FWD,NA,NA,0,NA,NA,NA
993905,709,Callum,Mills,SYD,DEF,NA,NA,0,9806,TRUE,DEF
996464,304,Darcy,MacPherson,GCS,FWD,MID,NA,0,NA,NA,NA
295461,218,Adam,Saad,ESS,DEF,NA,NA,0,9867,TRUE,DEF
994539,121,Sam,Petrevski-Seton,CAR,DEF,MID,NA,0,NA,NA,NA
280762,401,Shane,Mumford,GWS,RUC,NA,NA,0,NA,NA,NA
290194,526,Jamie,Macmillan,NTH,DEF,NA,NA,0,NA,NA,NA
230202,131,Kade,Simpson,CAR,DEF,NA,NA,0,186,TRUE,DEF
271001,138,Dayne,Beams,COL,MID,NA,NA,0,NA,NA,NA
294199,351,Sam,Menegola,GEE,MID,NA,NA,0,182,TRUE,MID
1003130,752,Patrick,Lipinski,WBD,FWD,MID,NA,0,9867,FALSE,FWD
298210,491,Christian,Petracca,MEL,FWD,NA,NA,0,9856,TRUE,FWD
291902,501,Jack,Viney,MEL,MID,NA,NA,0,182,TRUE,MID
270588,199,Cale,Hooker,ESS,DEF,NA,NA,0,33301,TRUE,DEF
294596,671,Tim,Membrey,STK,FWD,NA,NA,0,NA,NA,NA
1002240,175,Jaidyn,Stephenson,COL,FWD,NA,NA,0,NA,NA,NA
291978,689,Harry,Cunningham,SYD,DEF,NA,NA,0,NA,NA,NA
295518,99,Sam,Docherty,CAR,DEF,NA,NA,0,33301,TRUE,DEF
998129,278,Will,Brodie,GCS,MID,NA,NA,0,NA,NA,NA
260750,591,Justin,Westhoff,PTA,FWD,MID,NA,0,NA,NA,NA
1002583,635,Sydney,Stack,RIC,DEF,NA,NA,0,NA,NA,NA
261892,572,Hamish,Hartlett,PTA,DEF,NA,NA,0,NA,NA,NA
992010,159,Brayden,Maynard,COL,DEF,NA,NA,0,182,TRUE,DEF
997846,208,Conor,McKenna,ESS,DEF,NA,NA,0,NA,NA,NA
291351,426,Jack,Gunston,HAW,FWD,NA,NA,0,5524,TRUE,FWD
990609,54,Charlie,Cameron,BRL,FWD,NA,NA,0,NA,NA,NA
270935,200,Michael,Hurley,ESS,DEF,NA,NA,0,182,TRUE,DEF
291867,509,Ben,Brown,NTH,FWD,NA,NA,0,NA,NA,NA
290156,533,Jasper,Pittard,NTH,DEF,NA,NA,0,NA,NA,NA
291313,153,Jeremy,Howe,COL,DEF,NA,NA,0,NA,NA,NA
280804,382,Phil,Davis,GWS,DEF,NA,NA,0,NA,NA,NA
270896,606,Trent,Cotchin,RIC,MID,NA,NA,0,182,TRUE,MID
993794,428,Blake,Hardwick,HAW,DEF,NA,NA,0,NA,NA,NA
270951,225,David,Zaharakis,ESS,MID,NA,NA,0,NA,NA,NA
298419,356,Brandan,Parfitt,GEE,FWD,MID,NA,0,186,FALSE,FWD
293854,266,Matt,Taberner,FRE,FWD,NA,NA,0,NA,NA,NA
290188,716,Sam,Reid,SYD,FWD,NA,NA,0,NA,NA,NA
294266,788,Tom,Hickey,WCE,RUC,NA,NA,0,NA,NA,NA
996765,713,Tom,Papley,SYD,FWD,NA,NA,0,5524,TRUE,FWD
990290,777,Tom,Barrass,WCE,DEF,NA,NA,0,5524,TRUE,DEF
1001299,588,Connor,Rozee,PTA,FWD,NA,NA,0,NA,NA,NA
294469,683,Aliir,Aliir,SYD,DEF,NA,NA,0,NA,NA,NA
