player.feed_id,player_id,round,picked,position,points,ppts,player.first_name,player.last_name,player.team.abbrev,user_team_id,userTeam.teamname,userTeam.user_id,userTeam.user.first_name
992468,668,5,true,RUC,128,96,Rowan,Marshall,STK,9856,It's always Sonny,8258,Simon
298210,491,5,true,FWD,111,90,Christian,Petracca,MEL,9856,It's always Sonny,8258,Simon
291776,136,5,true,MID,103,111,Taylor,Adams,COL,9856,It's always Sonny,8258,Simon
296035,516,5,true,MID,97,86,Trent,Dumont,NTH,9856,It's always Sonny,8258,Simon
281007,270,5,true,FWD,92,95,Michael,Walters,FRE,9856,It's always Sonny,8258,Simon
296733,328,5,true,DEF,89,95,Mark,Blicavs,GEE,9856,It's always Sonny,8258,Simon
296359,495,5,true,DEF,82,67,Christian,Salem,MEL,9856,It's always Sonny,8258,Simon
270919,587,5,true,MID,75,75,Tom,Rockliff,PTA,9856,It's always Sonny,8258,Simon
998260,277,5,true,MID,71,100,Jack,Bowes,GCS,9856,It's always Sonny,8258,Simon
298264,481,5,true,MID,69,93,Ed,Langdon,MEL,9856,It's always Sonny,8258,Simon
1004095,303,5,true,FWD,68,64,Jack,Lukosius,GCS,9856,It's always Sonny,8258,Simon
294674,637,5,true,DEF,55,100,Nick,Vlastuin,RIC,9856,It's always Sonny,8258,Simon
280336,248,5,true,FWD,55,42,Stephen,Hill,FRE,9856,It's always Sonny,8258,Simon
220001,325,5,true,FWD,49,89,Gary,Ablett,GEE,9856,It's always Sonny,8258,Simon
297566,455,5,true,DEF,44,114,James,Sicily,HAW,9856,It's always Sonny,8258,Simon
260227,522,5,true,MID,35,101,Shaun,Higgins,NTH,9856,It's always Sonny,8258,Simon
290527,581,5,false,DEF,0,0,Trent,McKenzie,PTA,9856,It's always Sonny,8258,Simon
293651,734,5,false,DEF,0,0,Hayden,Crozier,WBD,9856,It's always Sonny,8258,Simon
261224,90,5,false,MID,0,0,Dayne,Zorko,BRL,9856,It's always Sonny,8258,Simon
271045,797,5,false,RUC,0,0,Nic,Naitanui,WCE,9856,It's always Sonny,8258,Simon
993905,709,6,true,DEF,173,91,Callum,Mills,SYD,9806,HoweIMetYourMother,86078,Lester
298272,307,6,true,MID,142,101,Touk,Miller,GCS,9806,HoweIMetYourMother,86078,Lester
993998,536,6,true,FWD,127,98,Jy,Simpkin,NTH,9806,HoweIMetYourMother,86078,Lester
1002232,232,6,true,FWD,122,95,Andrew,Brayshaw,FRE,9806,HoweIMetYourMother,86078,Lester
291790,178,6,true,MID,122,126,Adam,Treloar,COL,9806,HoweIMetYourMother,86078,Lester
296296,807,6,true,MID,114,99,Dom,Sheed,WCE,9806,HoweIMetYourMother,86078,Lester
290550,341,6,true,MID,109,78,Cameron,Guthrie,GEE,9806,HoweIMetYourMother,86078,Lester
290746,578,6,true,RUC,108,101,Scott,Lycett,PTA,9806,HoweIMetYourMother,86078,Lester
1000932,8,6,true,DEF,105,81,Tom,Doedee,ADE,9806,HoweIMetYourMother,86078,Lester
293716,67,6,true,MID,88,118,Jarryd,Lyons,BRL,9806,HoweIMetYourMother,86078,Lester
298211,340,6,true,FWD,84,73,Darcy,Fort,GEE,9806,HoweIMetYourMother,86078,Lester
993816,268,6,true,FWD,68,82,Darcy,Tucker,FRE,9806,HoweIMetYourMother,86078,Lester
290847,620,6,true,FWD,66,91,Dustin,Martin,RIC,9806,HoweIMetYourMother,86078,Lester
990704,94,6,true,MID,56,105,Patrick,Cripps,CAR,9806,HoweIMetYourMother,86078,Lester
1002239,235,6,true,DEF,54,96,Adam,Cerra,FRE,9806,HoweIMetYourMother,86078,Lester
1005717,651,6,true,DEF,54,56,Nick,Coffield,STK,9806,HoweIMetYourMother,86078,Lester
298279,464,6,true,MID,44,79,Angus,Brayshaw,MEL,9806,HoweIMetYourMother,86078,Lester
240283,789,6,true,DEF,39,95,Shannon,Hurn,WCE,9806,HoweIMetYourMother,86078,Lester
291800,366,6,false,DEF,0,0,Tom,Stewart,GEE,9806,HoweIMetYourMother,86078,Lester
250312,616,6,false,DEF,0,0,Bachar,Houli,RIC,9806,HoweIMetYourMother,86078,Lester
993834,738,6,false,MID,0,0,Josh,Dunkley,WBD,9806,HoweIMetYourMother,86078,Lester
260750,591,6,false,FWD,0,0,Justin,Westhoff,PTA,9806,HoweIMetYourMother,86078,Lester
290528,469,6,true,RUC,153,155,Max,Gawn,MEL,33301,"What's Up, Doch?",180650,Jordan
270917,335,6,true,MID,146,109,Patrick,Dangerfield,GEE,33301,"What's Up, Doch?",180650,Jordan
295467,755,6,true,MID,138,104,Jack,Macrae,WBD,33301,"What's Up, Doch?",180650,Jordan
291856,440,6,true,MID,122,125,Tom,Mitchell,HAW,33301,"What's Up, Doch?",180650,Jordan
296190,112,6,true,FWD,116,109,Jack,Martin,CAR,33301,"What's Up, Doch?",180650,Jordan
998134,641,6,true,DEF,101,88,Josh,Battle,STK,33301,"What's Up, Doch?",180650,Jordan
290156,533,6,true,DEF,99,69,Jasper,Pittard,NTH,33301,"What's Up, Doch?",180650,Jordan
1002227,615,6,true,FWD,94,97,Jack,Higgins,RIC,33301,"What's Up, Doch?",180650,Jordan
290307,715,6,true,DEF,90,81,Dane,Rampe,SYD,33301,"What's Up, Doch?",180650,Jordan
998103,691,6,true,MID,89,94,Oliver,Florent,SYD,33301,"What's Up, Doch?",180650,Jordan
270588,199,6,true,DEF,87,74,Cale,Hooker,ESS,33301,"What's Up, Doch?",180650,Jordan
296351,643,6,true,MID,83,106,Jack,Billings,STK,33301,"What's Up, Doch?",180650,Jordan
295344,387,6,true,FWD,83,95,Toby,Greene,GWS,33301,"What's Up, Doch?",180650,Jordan
293713,286,6,true,MID,71,75,Brandon,Ellis,GCS,33301,"What's Up, Doch?",180650,Jordan
290311,82,6,true,MID,64,97,Mitch,Robinson,BRL,33301,"What's Up, Doch?",180650,Jordan
998130,274,6,true,FWD,63,97,Ben,Ainsworth,GCS,33301,"What's Up, Doch?",180650,Jordan
295518,99,6,true,DEF,49,119,Sam,Docherty,CAR,33301,"What's Up, Doch?",180650,Jordan
992374,645,6,true,FWD,40,105,Dan,Butler,STK,33301,"What's Up, Doch?",180650,Jordan
260930,609,6,false,DEF,0,0,Shane,Edwards,RIC,33301,"What's Up, Doch?",180650,Jordan
993903,392,6,false,MID,0,0,Jacob,Hopper,GWS,33301,"What's Up, Doch?",180650,Jordan
991988,660,6,false,MID,0,0,Zak,Jones,STK,33301,"What's Up, Doch?",180650,Jordan
261396,570,6,false,FWD,0,0,Robbie,Gray,PTA,33301,"What's Up, Doch?",180650,Jordan
250321,361,6,true,MID,143,93,Joel,Selwood,GEE,186,GetRichOrDieTryin,21562,Mark
297401,6,6,true,MID,123,123,Matt,Crouch,ADE,186,GetRichOrDieTryin,21562,Mark
261510,343,6,true,FWD,120,105,Tom,Hawkins,GEE,186,GetRichOrDieTryin,21562,Mark
290032,617,6,true,FWD,109,87,Kane,Lambert,RIC,186,GetRichOrDieTryin,21562,Mark
994295,574,6,true,DEF,109,84,Dan,Houston,PTA,186,GetRichOrDieTryin,21562,Mark
293957,151,6,true,RUC,107,134,Brodie,Grundy,COL,186,GetRichOrDieTryin,21562,Mark
998659,261,6,true,DEF,105,100,Luke,Ryan,FRE,186,GetRichOrDieTryin,21562,Mark
296347,397,6,true,MID,92,110,Josh,Kelly,GWS,186,GetRichOrDieTryin,21562,Mark
260257,165,6,true,MID,90,108,Scott,Pendlebury,COL,186,GetRichOrDieTryin,21562,Mark
296205,680,6,true,MID,87,108,Jack,Steele,STK,186,GetRichOrDieTryin,21562,Mark
1002222,460,6,true,MID,83,86,James,Worpel,HAW,186,GetRichOrDieTryin,21562,Mark
280711,562,6,true,FWD,83,86,Charlie,Dixon,PTA,186,GetRichOrDieTryin,21562,Mark
281080,808,6,true,DEF,80,92,Brad,Sheppard,WCE,186,GetRichOrDieTryin,21562,Mark
298419,356,6,true,FWD,79,105,Brandan,Parfitt,GEE,186,GetRichOrDieTryin,21562,Mark
271072,80,6,true,DEF,77,89,Daniel,Rich,BRL,186,GetRichOrDieTryin,21562,Mark
1002264,649,6,true,DEF,61,84,Hunter,Clark,STK,186,GetRichOrDieTryin,21562,Mark
250105,115,6,true,MID,47,84,Marc,Murphy,CAR,186,GetRichOrDieTryin,21562,Mark
1005521,74,6,true,FWD,38,72,Oscar,McInerney,BRL,186,GetRichOrDieTryin,21562,Mark
261892,572,6,false,DEF,0,0,Hamish,Hartlett,PTA,186,GetRichOrDieTryin,21562,Mark
280078,809,6,false,MID,0,0,Luke,Shuey,WCE,186,GetRichOrDieTryin,21562,Mark
994185,148,6,false,FWD,0,0,Jordan,De Goey,COL,186,GetRichOrDieTryin,21562,Mark
290623,601,6,false,FWD,0,0,Josh,Caddy,RIC,186,GetRichOrDieTryin,21562,Mark
