"id","first_name","last_name","team.abbrev","positions.position","positions.position.1","player_stats.avg","median_score","user_team_id","round","pick","current_team_id","DEF","MID","RUC","FWD","score"
"746","Lachie","Hunter","WBD","MID","",103.333,108,"5524",10,78,"5524",,0.409082843978686,,,0.4091
"709","Callum","Mills","SYD","DEF","",106.25,103,"9806",10,79,"9806",0.983306306850894,,,,0.9833
"752","Patrick","Lipinski","WBD","FWD","MID",88.8333,87.5,"9867",10,80,"9867",,-1.48409772498088,,-0.146672968788204,-0.1467
"219","Dylan","Shiel","ESS","MID","",114,96,"9867",11,81,"9867",,-0.699120415900083,,,-0.6991
"67","Jarryd","Lyons","BRL","MID","",113.75,114.5,"9806",11,82,"9806",,1.00935960974635,,,1.0094
"459","Chad","Wingard","HAW","FWD","MID",90,81.5,"5524",11,83,"5524",,-2.03819935492026,,-0.709897168934906,-0.7099
"559","Darcy","Byrne-Jones","PTA","DEF","",81.625,80.5,"189",11,84,"189",-1.02230429069201,,,,-1.0223
"418","Jonathon","Ceglar","HAW","RUC","FWD",79,78.5,"182",11,85,"182",,,-1.40903817466608,-0.991509269008257,-0.9915
"136","Taylor","Adams","COL","MID","",112.25,109,"9856",11,86,"9856",,0.50143311563525,,,0.5014
"570","Robbie","Gray","PTA","FWD","MID",77.75,77,"33301",11,87,"33301",,-2.4537755773748,,-1.13231531904493,-1.1323
"618","Tom J.","Lynch","RIC","FWD","",61.25,58,"186",11,88,,,,,-2.91585861950949,-2.9159
"148","Jordan","De Goey","COL","FWD","",86,76,"186",12,89,,,,,-1.22618601906938,-1.2262
"643","Jack","Billings","STK","MID","",100.5,100.5,"33301",12,90,"33301",,-0.283544193445544,,,-0.2835
"495","Christian","Salem","MEL","DEF","",81.1667,86.5,"9856",12,91,"9867",-0.4874747980139,,,,-0.4875
"47","Harris","Andrews","BRL","DEF","",87.75,91,"182",12,92,"182",-0.0863526785053193,,,,-0.0864
"133","Sam","Walsh","CAR","MID","",90.375,90.5,"189",12,93,"9856",,-1.20704691001119,,,-1.207
