feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,projected_points,points,user_team_id,picked,position,sc_team,sc_coach,round,year
290314,396,Lachlan,Keeffe,GWS,DEF,FWD,61,45,,,,,,8,2020
294077,429,Michael,Hartley,HAW,DEF,,65,,,,,,,8,2020
298298,798,Jackson,Nelson,WCE,DEF,,75,86,,,,,,8,2020
1006203,17,Chayce,Jones,ADE,FWD,,46,22,,,,,,8,2020
294518,189,Joe,Daniher,ESS,FWD,,58,,,,,,,8,2020
998106,11,Jordan,Gallucci,ADE,FWD,,56,,,,,,,8,2020
1008198,705,Tom,McCartin,SYD,FWD,,56,70,,,,,,8,2020
1007124,444,Conor,Nash,HAW,FWD,,54,,,,,,,8,2020
997316,773,Lewis,Young,WBD,DEF,,56,,,,,,,8,2020
992472,485,Oscar,McDonald,MEL,DEF,,60,23,,,,,,8,2020
998180,229,Bailey,Banfield,FRE,FWD,,58,63,,,,,,8,2020
993946,18,Ben,Keays,ADE,FWD,,79,116,5524,true,FWD,The Dragon's Laird,Luke,8,2020
291947,774,Brendon,Ah Chee,WCE,MID,,60,,,,,,,8,2020
1000068,280,Christopher,Burgess,GCS,DEF,,57,,,,,,,8,2020
1003203,707,Hayden,McLean,SYD,RUC,,60,,,,,,,8,2020
298211,340,Darcy,Fort,GEE,FWD,,81,,,,,,,8,2020
1008280,759,Ed,Richards,WBD,FWD,MID,48,68,,,,,,8,2020
298277,743,Billy,Gowers,WBD,FWD,,47,40,,,,,,8,2020
297255,113,Mitch,McGovern,CAR,FWD,,68,23,,,,,,8,2020
1002312,49,Zac,Bailey,BRL,DEF,MID,66,110,,,,,,8,2020
294013,302,Sean,Lemmens,GCS,FWD,MID,39,,,,,,,8,2020
1008855,461,Oskar,Baker,MEL,MID,,45,,,,,,,8,2020
1008089,167,Isaac,Quaynor,COL,DEF,,64,79,33301,true,DEF,"What's Up, Doch?",Jordan,8,2020
295313,748,Lin,Jong,WBD,MID,,74,,,,,,,8,2020
280933,675,Dylan,Roberton,STK,DEF,,58,,,,,,,8,2020
1005054,147,Josh,Daicos,COL,MID,,82,46,,,,,,8,2020
992054,762,Roarke,Smith,WBD,FWD,MID,53,,,,,,,8,2020
1002245,598,Noah,Balta,RIC,RUC,FWD,44,57,,,,,,8,2020
280722,318,Zac,Smith,GCS,RUC,,75,,,,,,,8,2020
296371,230,Brett,Bewley,FRE,FWD,,81,63,,,,,,8,2020
1002235,79,Cameron,Rayner,BRL,FWD,,70,89,186,true,FWD,GetRichOrDieTryin,Mark,8,2020
298144,710,Sam,Naismith,SYD,RUC,,70,,,,,,,8,2020
1005530,638,Ryan,Abbott,STK,RUC,,84,,,,,,,8,2020
295156,687,Kaiden,Brand,SYD,DEF,,61,,,,,,,8,2020
297990,500,Aaron,vandenBerg,MEL,FWD,MID,59,,,,,,,8,2020
298287,542,Ed,Vickers-Willis,NTH,DEF,,52,,,,,,,8,2020
1001396,380,Isaac,Cumming,GWS,DEF,,60,,,,,,,8,2020
296439,109,Darcy,Lang,CAR,FWD,,37,,,,,,,8,2020
998218,612,Ryan,Garthwaite,RIC,DEF,,44,,,,,,,8,2020
