feed_id,player_id,first_name,last_name,team_abbrev,pos,pos2,points,user_team_id,picked,position,round,year,teamname,coach
998215,128,Will,Setterfield,CAR,MID,,86,,,,2,2020,,
992644,493,Braydon,Preuss,MEL,RUC,FWD,,,,,2,2020,,
992499,540,Kayne,Turner,NTH,FWD,,,,,,2,2020,,
294663,726,Jackson,Thurlow,SYD,DEF,,,,,,2,2020,,
998130,274,Ben,Ainsworth,GCS,FWD,MID,67,,,,2,2020,,
1001017,525,Nick,Larkey,NTH,FWD,,,,,,2,2020,,
291357,359,Gary,Rohan,GEE,FWD,,31,,,,2,2020,,
1006121,557,Zak,Butters,PTA,FWD,,119,,,,2,2020,,
290675,400,Daniel,Lloyd,GWS,FWD,,31,,,,2,2020,,
290641,648,Jake,Carlisle,STK,DEF,,54,,,,2,2020,,
295446,281,Sam,Collins,GCS,DEF,,57,,,,2,2020,,
296324,249,Jesse,Hogan,FRE,FWD,,,,,,2,2020,,
994386,326,Tom,Atkins,GEE,FWD,,68,,,,2,2020,,
296355,528,Luke,McDonald,NTH,DEF,,59,,,,2,2020,,
996064,300,Jesse,Joyce,GCS,DEF,,,,,,2,2020,,
997142,576,Peter,Ladhams,PTA,RUC,FWD,,,,,2,2020,,
1008882,276,Charlie,Ballard,GCS,DEF,,65,,,,2,2020,,
993828,70,Rhys,Mathieson,BRL,FWD,MID,,,,,2,2020,,
1001028,130,Jack,Silvagni,CAR,FWD,,,,,,2,2020,,
1001026,217,Jordan,Ridley,ESS,DEF,,94,5524,true,DEF,2,2020,The Dragon's Laird,Luke
990606,221,William,Snelling,ESS,FWD,,38,,,,2,2020,,
1000981,631,Daniel,Rioli,RIC,FWD,,35,,,,2,2020,,
296200,102,Michael,Gibbons,CAR,FWD,,90,,,,2,2020,,
298091,640,Logan,Austin,STK,DEF,,,,,,2,2020,,
295942,308,Jordan,Murdoch,GCS,DEF,,,,,,2,2020,,
250290,179,Travis,Varcoe,COL,FWD,,,,,,2,2020,,
993806,504,Sam,Weideman,MEL,FWD,,,,,,2,2020,,
1002220,358,Esava,Ratugolea,GEE,FWD,,65,,,,2,2020,,
1002331,284,Jacob,Dawson,GCS,DEF,,,,,,2,2020,,
997100,697,Will,Hayward,SYD,FWD,,64,,,,2,2020,,
240232,169,Ben,Reid,COL,FWD,,,,,,2,2020,,
994385,474,Jayden,Hunt,MEL,FWD,,85,,,,2,2020,,
294168,44,Marcus,Adams,BRL,DEF,,,,,,2,2020,,
1005247,412,Sam,Taylor,GWS,DEF,,63,,,,2,2020,,
994077,603,Mabior,Chol,RIC,RUC,FWD,,,,,2,2020,,
991976,745,Will,Hayes,WBD,MID,,,,,,2,2020,,
296334,191,Orazio,Fantasia,ESS,FWD,,,,,,2,2020,,
1004985,673,Ben,Paton,STK,DEF,,69,,,,2,2020,,
298437,45,Callum,Ah Chee,BRL,MID,,83,,,,2,2020,,
993820,781,Thomas,Cole,WCE,DEF,,,,,,2,2020,,
297452,658,Nick,Hind,STK,FWD,,81,,,,2,2020,,
296211,725,Lewis,Taylor,SYD,MID,,69,,,,2,2020,,
1001398,107,Matthew,Kennedy,CAR,FWD,,,,,,2,2020,,
1005717,651,Nick,Coffield,STK,DEF,,53,,,,2,2020,,
993841,760,Josh,Schache,WBD,FWD,,,,,,2,2020,,
996442,688,Ryan,Clarke,SYD,MID,,,,,,2,2020,,
993940,502,Corey,Wagner,MEL,FWD,MID,,,,,2,2020,,
280972,590,Jack,Watts,PTA,DEF,,,,,,2,2020,,
291792,407,Tommy,Sheridan,GWS,MID,,,,,,2,2020,,
1006133,632,Jack,Ross,RIC,MID,,,,,,2,2020,,
997033,238,Brennan,Cox,FRE,FWD,,56,,,,2,2020,,
297504,75,Daniel,McStay,BRL,FWD,,42,,,,2,2020,,
270326,344,Lachlan,Henderson,GEE,DEF,,,,,,2,2020,,
260113,654,Jarryn,Geary,STK,DEF,,30,,,,2,2020,,
996232,195,Matt,Guelfi,ESS,MID,,27,,,,2,2020,,
293883,327,Jed,Bews,GEE,DEF,,45,,,,2,2020,,
999309,388,Jackson,Hately,GWS,MID,,,9867,false,MID,2,2020,Bad Boys For Fyfe,James
996554,813,Jake,Waterman,WCE,FWD,,,,,,2,2020,,
992351,770,Bailey,Williams,WBD,DEF,,82,,,,2,2020,,
260288,421,James,Frawley,HAW,DEF,,65,,,,2,2020,,
1007881,310,Wil,Powell,GCS,MID,,77,,,,2,2020,,
290527,581,Trent,McKenzie,PTA,DEF,,75,,,,2,2020,,
291848,693,Robbie,Fox,SYD,DEF,FWD,,,,,2,2020,,
298409,259,Alex,Pearce,FRE,DEF,,,,,,2,2020,,
296291,349,Jake,Kolodjashnij,GEE,DEF,,,,,,2,2020,,
294643,316,Alex,Sexton,GCS,FWD,,42,,,,2,2020,,
297406,188,Tom,Cutler,ESS,MID,,60,,,,2,2020,,
1000998,29,Lachlan,Murphy,ADE,FWD,,52,,,,2,2020,,
1006028,686,Nick,Blakey,SYD,FWD,,38,,,,2,2020,,
1002256,100,Paddy,Dow,CAR,FWD,MID,,,,,2,2020,,
295203,600,Nathan,Broad,RIC,DEF,,55,,,,2,2020,,
993953,63,Eric,Hipwood,BRL,FWD,,71,,,,2,2020,,
998647,145,Mason,Cox,COL,FWD,,,,,,2,2020,,
294654,222,James,Stewart,ESS,FWD,,,,,,2,2020,,
240302,53,Grant,Birchall,BRL,DEF,,49,,,,2,2020,,
280988,236,Travis,Colyer,FRE,FWD,,48,,,,2,2020,,
291964,298,Jack,Hombsch,GCS,DEF,,,,,,2,2020,,
1000267,672,Matthew,Parker,STK,FWD,,,,,,2,2020,,
281139,771,Easton,Wood,WBD,DEF,,,,,,2,2020,,
1005721,183,Josh,Begley,ESS,FWD,,,,,,2,2020,,
995192,254,Cam,McCarthy,FRE,FWD,,,,,,2,2020,,
1000937,345,Jack,Henry,GEE,DEF,,39,,,,2,2020,,
280959,811,Nathan,Vardy,WCE,RUC,,,,,,2,2020,,
1008893,492,Harrison,Petty,MEL,DEF,FWD,,,,,2,2020,,
291784,541,Dom,Tyson,NTH,MID,,,,,,2,2020,,
1000963,443,Harry,Morrison,HAW,FWD,MID,63,,,,2,2020,,
1004998,579,Todd,Marshall,PTA,FWD,,127,,,,2,2020,,
297767,517,Sam,Durdin,NTH,DEF,,,,,,2,2020,,
291797,375,Matt,Buntine,GWS,DEF,FWD,,,,,2,2020,,
1001043,427,Oliver,Hanrahan,HAW,FWD,,48,,,,2,2020,,
996743,708,Lewis,Melican,SYD,DEF,,,,,,2,2020,,
298390,483,Jay,Lockhart,MEL,FWD,,,,,,2,2020,,
999331,9,Darcy,Fogarty,ADE,FWD,,56,,,,2,2020,,
993917,665,Ben,Long,STK,FWD,,41,5524,false,FWD,2,2020,The Dragon's Laird,Luke
993798,357,James,Parsons,GEE,MID,,,,,,2,2020,,
298265,670,Daniel,McKenzie,STK,DEF,,,,,,2,2020,,
991953,287,Corey,Ellis,GCS,DEF,,,,,,2,2020,,
1005793,780,Jarrod,Cameron,WCE,FWD,,,,,,2,2020,,
1005199,16,Elliott,Himmelberg,ADE,FWD,,,,,,2,2020,,
1006550,801,Jack,Petruccelle,WCE,FWD,,37,,,,2,2020,,
1006148,390,Ian,Hill,GWS,FWD,,,,,,2,2020,,
991939,733,Zaine,Cordy,WBD,DEF,,,,,,2,2020,,
295599,182,Patrick,Ambrose,ESS,DEF,,,,,,2,2020,,
1002213,674,Ed,Phillips,STK,MID,,,,,,2,2020,,
997823,804,Josh,Rotham,WCE,DEF,,,,,,2,2020,,
1004095,303,Jack,Lukosius,GCS,DEF,FWD,78,,,,2,2020,,
1006314,441,Dylan,Moore,HAW,FWD,,,,,,2,2020,,
281052,790,Mark,Hutchings,WCE,MID,,,,,,2,2020,,
1000932,8,Tom,Doedee,ADE,DEF,,39,186,true,DEF,2,2020,GetRichOrDieTryin,Mark
295012,172,Matthew,Scharenberg,COL,DEF,,,,,,2,2020,,
1002353,239,Mitchell,Crowden,FRE,FWD,,,,,,2,2020,,
290314,396,Lachlan,Keeffe,GWS,DEF,FWD,,,,,2,2020,,
