YEAR,GAME,TEAM,PLAYER,HITS,THROWS,OVERTHROWS,CLUTCH,T_HITS,T_THROWS,WINNER,PCNT,FANTASY,PLAYERS,CUPS_FOR,CUPS_AGAINST,CARRIER,DRY_SPELL
2019,EF,SWIMMING & TITS,LESTER,1,16,0,1,0,0,0,6.2,22,2,7,8,14.3,10
2019,EF,NOT 7th & 8th,NAKHLA,4,18,0,2,0,0,1,22.2,98,2,10,7,40,7
2019,QF,NAP & SPOON,KAPPAZ,3,15,0,0,0,1,0,20,41,2,10,9,30,8
2019,QF,(FOOT)BALL & CHAINS,MELONS,3,17,1,0,0,2,0,17.6,37,2,9,10,33.3,10
2019,QF,(FOOT)BALL & CHAINS,PMAC,6,17,0,1,0,1,0,35.3,93,2,9,10,66.7,5
2019,QF,NAP & SPOON,RICHO,6,17,0,1,1,2,1,35.3,110,2,10,9,60,5
2019,SF,NOT 7th & 8th,GARTER,6,17,0,1,0,4,1,35.3,119,2,10,7,60,6
2019,SF,(FOOT)BALL & CHAINS,MELONS,3,15,0,0,0,4,0,20,52,2,7,10,42.9,5
2019,SF,NOT 7th & 8th,NAKHLA,4,16,0,0,0,2,0,25,63,2,10,7,40,11
2019,SF,(FOOT)BALL & CHAINS,PMAC,4,16,0,0,0,0,0,25,66,2,7,10,57.1,6
2019,PF,SWIMMING & TITS,CHIEF,7,19,0,1,0,3,1,36.8,127,2,10,8,70,6
2019,PF,SWIMMING & TITS,LESTER,2,17,2,1,0,0,0,11.8,16,2,10,8,20,9
2019,PF,(FOOT)BALL & CHAINS,MELONS,3,18,0,0,0,1,0,16.7,52,2,8,9,37.5,8
2019,PF,(FOOT)BALL & CHAINS,PMAC,3,18,1,1,0,1,0,16.7,40,2,8,9,37.5,12
2019,GF,NOT 7th & 8th,GARTER,4,21,1,0,0,1,0,19,57,2,8,10,50,9
2019,GF,NAP & SPOON,KAPPAZ,4,20,0,0,1,4,0,20,74,2,10,8,40,8
2019,GF,NOT 7th & 8th,NAKHLA,4,21,0,1,0,0,0,19,65,2,8,10,50,7
2019,GF,NAP & SPOON,RICHO,5,20,0,1,0,3,1,25,89,2,10,8,50,7
2019,IP4,CHIEF,CHIEF,5,48,1,1,0,7,1,10.4,66,1,6,5,83.3,31
2019,IP4,LESTER,LESTER,4,47,1,0,0,4,0,8.5,47,1,4,6,100,20
2019,IP3,MELONS,MELONS,5,34,1,1,0,8,1,14.7,66,1,6,5,83.3,15
2019,IP3,PMAC,PMAC,4,34,1,0,0,3,0,11.8,47,1,5,6,80,13
2019,IP2,GARTER,GARTER,2,18,0,0,0,2,0,11.1,34,1,2,6,100,9
2019,IP2,NAKHLA,NAKHLA,6,19,0,1,0,3,1,31.6,116,1,6,2,100,8
2019,IP1,KAPPAZ,KAPPAZ,5,19,0,0,1,4,0,26.3,97,1,5,3,100,9
2019,IP1,RICHO,RICHO,2,20,0,0,0,3,0,10,32,1,2,6,100,8
2020,RR1,Lord of the Rims,NAKHLA,5,16,1,0,0,1,0,31.2,91,2,10,4,50,7
2020,RR1,Stevo's Bet Slip,PMAC,1,15,0,0,0,1,0,6.7,18,2,4,10,25,10
2020,RR1,Lord of the Rims,RICHO,5,19,0,2,2,5,1,26.3,135,2,10,4,50,8
2020,RR1,Stevo's Bet Slip,CHIEF,2,15,0,0,0,5,0,13.3,36,2,4,10,50,8
2020,RR2,The Dancing Bears,GARTER,2,33,2,0,1,5,0,6.1,29,2,8,10,25,21
2020,RR2,B2B Specialists,KAPPAZ,7,33,0,1,0,5,1,21.2,136,2,10,8,70,8
2020,RR2,The Dancing Bears,LESTER,3,32,1,0,0,4,0,9.4,37,2,8,10,37.5,22
2020,RR2,B2B Specialists,MELONS,0,32,3,0,0,2,0,0,0,2,10,8,0,32
2020,RR3,B2B Specialists,KAPPAZ,9,18,1,0,1,5,0,50,141,2,9,10,100,5
2020,RR3,B2B Specialists,MELONS,0,17,2,0,0,1,0,0,0,2,9,10,0,17
2020,RR3,Lord of the Rims,NAKHLA,5,16,0,0,0,3,0,31.2,73,2,10,9,50,6
